"Rank","Name","Platform","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Year"
2,"Super Mario Bros.","NES","Platform","Nintendo",29.08,3.58,6.81,0.77,40.24,"1985"
3,"Mario Kart Wii","Wii","Racing","Nintendo",15.85,12.88,3.79,3.31,35.82,"2008"
7,"New Super Mario Bros.","DS","Platform","Nintendo",11.38,9.23,6.5,2.9,30.01,"2006"
9,"New Super Mario Bros. Wii","Wii","Platform","Nintendo",14.59,7.06,4.7,2.26,28.62,"2009"
12,"Mario Kart DS","DS","Racing","Nintendo",9.81,7.57,4.13,1.92,23.42,"2005"
19,"Super Mario World","SNES","Platform","Nintendo",12.78,3.75,3.54,0.55,20.61,"1990"
22,"Super Mario Land","GB","Platform","Nintendo",10.83,2.71,4.18,0.42,18.14,"1989"
23,"Super Mario Bros. 3","NES","Platform","Nintendo",9.54,3.44,3.84,0.46,17.28,"1988"
43,"Mario Kart 7","3DS","Racing","Nintendo",4.74,3.91,2.67,0.89,12.21,"2011"
47,"Super Mario 64","N64","Platform","Nintendo",6.91,2.85,1.91,0.23,11.89,"1996"
49,"Super Mario Galaxy","Wii","Platform","Nintendo",6.16,3.4,1.2,0.76,11.52,"2007"
51,"Super Mario Land 2: 6 Golden Coins","GB","Adventure","Nintendo",6.16,2.04,2.69,0.29,11.18,"1992"
54,"Super Mario 3D Land","3DS","Platform","Nintendo",4.89,2.99,2.13,0.78,10.79,"2011"
58,"Super Mario All-Stars","SNES","Platform","Nintendo",5.99,2.15,2.12,0.29,10.55,"1993"
60,"Super Mario 64","DS","Platform","Nintendo",5.08,3.11,1.25,0.98,10.42,"2004"
64,"Mario Kart 64","N64","Racing","Nintendo",5.55,1.94,2.23,0.15,9.87,"1996"
65,"New Super Mario Bros. 2","3DS","Platform","Nintendo",3.66,3.07,2.47,0.63,9.82,"2012"
75,"Mario Party DS","DS","Misc","Nintendo",4.46,1.88,1.98,0.7,9.02,"2007"
77,"Super Mario Kart","SNES","Racing","Nintendo",3.54,1.24,3.81,0.18,8.76,"1992"
81,"Mario Party 8","Wii","Misc","Nintendo",3.81,2.3,1.58,0.73,8.42,"2007"
86,"Mario & Sonic at the Olympic Games","Wii","Sports","Sega",2.58,3.9,0.66,0.91,8.06,"2007"
92,"Super Mario Galaxy 2","Wii","Platform","Nintendo",3.66,2.42,0.98,0.64,7.69,"2010"
97,"Super Mario Bros. 2","NES","Platform","Nintendo",5.39,1.18,0.7,0.19,7.46,"1988"
109,"Mario Kart 8","WiiU","Racing","Nintendo",3.13,2.07,1.27,0.49,6.96,"2014"
111,"Mario Kart: Double Dash!!","GC","Racing","Nintendo",4.12,1.77,0.87,0.19,6.95,"2003"
136,"Super Mario Sunshine","GC","Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,"2002"
163,"Super Mario Advance","GBA","Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,"2001"
164,"Mario Kart: Super Circuit","GBA","Racing","Nintendo",2.62,1.64,0.99,0.23,5.47,"2001"
165,"Super Mario World","GBA","Platform","Nintendo",3.21,1.11,0.95,0.2,5.46,"2001"
171,"Dr. Mario","GB","Puzzle","Nintendo",2.18,0.96,2,0.2,5.34,"1989"
183,"Super Mario Bros. 3","GBA","Platform","Nintendo",2.93,1.25,0.83,0.2,5.2,"2003"
184,"New Super Mario Bros. U","WiiU","Platform","Nintendo",2.32,1.3,1.27,0.31,5.19,"2012"
185,"Super Mario Land 3: Wario Land","GB","Platform","Nintendo",2.49,0.98,1.57,0.15,5.19,"1994"
190,"Mario & Sonic at the Olympic Games","DS","Sports","Sega",1.64,2.48,0.44,0.58,5.14,"2008"
201,"Super Mario Bros.","GB","Platform","Nintendo",3.4,1.3,0.15,0.22,5.07,"1999"
216,"Dr. Mario","NES","Puzzle","Nintendo",2.62,0.6,1.52,0.1,4.85,"1990"
234,"Mario & Sonic at the Olympic Winter Games","Wii","Sports","Sega",1.89,1.99,0.22,0.48,4.58,"2009"
262,"Super Mario 3D World","WiiU","Platform","Nintendo",2.11,1.11,0.72,0.3,4.25,"2013"
283,"Super Mario World 2: Yoshi's Island","SNES","Platform","Nintendo",1.65,0.61,1.76,0.09,4.12,"1995"
320,"Mario & Luigi: Bowser's Inside Story","DS","Role-Playing","Nintendo",2.26,0.48,0.81,0.27,3.83,"2009"
324,"Mario & Sonic at the London 2012 Olympic Games","Wii","Sports","Sega",1.14,1.91,0.27,0.46,3.78,"2011"
330,"Super Paper Mario","Wii","Platform","Nintendo",1.98,0.88,0.59,0.32,3.76,"2007"
371,"Mario & Sonic at the Olympic Winter Games","DS","Sports","Sega",1.22,1.66,0.27,0.38,3.52,"2009"
406,"Mario Party 9","Wii","Misc","Nintendo",1.15,1.17,0.76,0.24,3.32,"2012"
430,"Super Mario Maker","WiiU","Platform","Nintendo",1.18,0.87,0.93,0.2,3.18,"2015"
493,"Super Mario World 2: Yoshi's Island","GBA","Platform","Nintendo",1.75,0.45,0.62,0.09,2.91,"2002"
546,"Mario Paint","SNES","Misc","Nintendo",1.43,0.54,0.71,0.07,2.75,"1992"
555,"Mario Party","N64","Misc","Nintendo",1.25,0.53,0.87,0.05,2.7,"1998"
559,"Mario vs. Donkey Kong: Mini-Land Mayhem!","DS","Puzzle","Nintendo",1.63,0.52,0.35,0.18,2.69,"2010"
574,"Super Mario Bros.: The Lost Levels","NES","Platform","Nintendo",0,0,2.65,0,2.65,"1986"
582,"Mario Strikers Charged","Wii","Sports","Nintendo",1.07,1.06,0.24,0.25,2.62,"2007"
588,"Super Mario All-Stars: Limited Edition","Wii","Platform","Nintendo",1.02,0.52,0.92,0.14,2.6,"2010"
616,"Mario Party 2","N64","Misc","Nintendo",1.28,0.14,1.08,0.01,2.5,"1999"
627,"Mario Party 4","GC","Misc","Nintendo",1.13,0.36,0.92,0.07,2.47,"2002"
685,"Mario Tennis","N64","Sports","Nintendo",0.78,0.4,1.06,0.07,2.32,"2000"
702,"Mario Bros.","NES","Platform","Nintendo",0.51,0.12,1.63,0.02,2.28,"1983"
707,"Paper Mario: Sticker Star","3DS","Role-Playing","Nintendo",1.12,0.39,0.64,0.12,2.27,"2012"
718,"Paper Mario: The Thousand-Year Door","GC","Role-Playing","Nintendo",1.48,0.25,0.46,0.06,2.25,"2004"
753,"Mario & Luigi: Superstar Saga","GBA","Role-Playing","Nintendo",1.48,0.17,0.47,0.06,2.17,"2003"
764,"Super Mario RPG: Legend of the Seven Stars","SNES","Role-Playing","Nintendo",0.66,0,1.45,0.03,2.14,"1996"
783,"Mario Sports Mix","Wii","Sports","Nintendo",0.9,0.45,0.63,0.13,2.11,"2010"
805,"Mario Party 5","GC","Misc","Nintendo",0.97,0.33,0.73,0.06,2.08,"2003"
822,"Mario & Luigi: Dream Team","3DS","Role-Playing","Nintendo",0.89,0.57,0.46,0.13,2.06,"2013"
894,"Mario Super Sluggers","Wii","Sports","Nintendo",1.51,0,0.29,0.12,1.93,"2008"
904,"Mario Party 3","N64","Misc","Nintendo",0.72,0.16,1.01,0.02,1.91,"2000"
936,"Mario Party: Island Tour","3DS","Misc","Nintendo",0.61,0.59,0.55,0.11,1.85,"2013"
1109,"Mario Party 6","GC","Misc","Nintendo",0.9,0.11,0.6,0.05,1.65,"2004"
1138,"Mario Hoops 3 on 3","DS","Sports","Nintendo",0.99,0.04,0.49,0.1,1.62,"2006"
1146,"Super Mario Strikers","GC","Sports","Nintendo",0.98,0.38,0.2,0.04,1.61,"2005"
1165,"Mario Bros.","2600","Platform","Atari",1.48,0.09,0,0.02,1.59,"1982"
1185,"Mario Party 7","GC","Misc","Nintendo",0.95,0.11,0.46,0.04,1.57,"2005"
1209,"Mario Party 10","WiiU","Misc","Nintendo",0.69,0.5,0.24,0.11,1.55,"2015"
1227,"Mario Golf: Toadstool Tour","GC","Sports","Nintendo",1.09,0.15,0.25,0.04,1.53,"2003"
1277,"New Play Control! Mario Power Tennis","Wii","Sports","Nintendo",0.37,0.69,0.28,0.14,1.48,"2009"
1290,"Mario Golf","N64","Action","Nintendo",0.62,0.18,0.65,0.02,1.47,"1999"
1310,"Mario Superstar Baseball","GC","Sports","Nintendo",0.93,0.24,0.25,0.04,1.46,"2005"
1353,"Classic NES Series: Super Mario Bros.","GBA","Platform","Nintendo",0,0,1.39,0.03,1.43,"2004"
1403,"Paper Mario","N64","Role-Playing","Nintendo",0.58,0.18,0.59,0.02,1.38,"2000"
1458,"Mario & Luigi: Partners in Time","DS","Role-Playing","Nintendo",0.77,0.07,0.43,0.08,1.34,"2005"
1636,"Mario Power Tennis","GC","Sports","Nintendo",0.58,0.16,0.46,0.03,1.22,"2004"
1683,"Mario vs. Donkey Kong 2: March of the Minis","DS","Puzzle","Nintendo",0.74,0.03,0.36,0.07,1.2,"2006"
1694,"Mario & Sonic at the London 2012 Olympic Games","3DS","Sports","Sega",0.18,0.64,0.27,0.1,1.19,"2012"
1712,"Mario Tennis","GB","Sports","Nintendo",0.5,0.18,0.44,0.06,1.18,"2000"
1740,"Mario vs. Donkey Kong","GBA","Puzzle","Nintendo",0.68,0.25,0.21,0.02,1.17,"2004"
2111,"Mario Party Advance","GBA","Misc","Nintendo",0.5,0.19,0.28,0.02,0.98,"2005"
