"platform","genre_with_max_sales","genre_with_max_count","platform_favors_top_seller"
"2600","Action","Action","Yes"
"3DO","Puzzle","Puzzle","Yes"
"3DS","Action","Action","Yes"
"DC","Action","Action","Yes"
"DS","Role-Playing","Action","No"
"GB","Role-Playing","Action","No"
"GBA","Role-Playing","Action","No"
"GC","Role-Playing","Action","No"
"GEN","Role-Playing","Action","No"
"GG","Platform","Platform","Yes"
"N64","Role-Playing","Action","No"
"NES","Platform","Action","No"
"NG","Sports","Sports","Yes"
"PC","Role-Playing","Action","No"
"PCFX","Role-Playing","Role-Playing","Yes"
"PS","Action","Action","Yes"
"PS2","Action","Action","Yes"
"PS3","Action","Action","Yes"
"PS4","Action","Action","Yes"
"PSP","Action","Action","Yes"
"PSV","Action","Action","Yes"
"SAT","Action","Action","Yes"
"SCD","Role-Playing","Role-Playing","Yes"
"SNES","Action","Action","Yes"
"TG16","Shooter","Adventure","No"
"Wii","Action","Action","Yes"
"WiiU","Action","Action","Yes"
"WS","Role-Playing","Role-Playing","Yes"
"X360","Action","Action","Yes"
"XB","Action","Action","Yes"
"XOne","Action","Action","Yes"
