"platform","genre","max_games"
"2600","Action",61
"3DO","Puzzle",12
"3DS","Action",243
"DC","Action",246
"DS","Action",589
"GB","Action",595
"GBA","Action",762
"GC","Action",863
"GEN","Action",866
"GG","Platform",373
"N64","Action",904
"NES","Action",917
"NG","Sports",501
"PC","Action",1082
"PCFX","Role-Playing",538
"PS","Action",1239
"PS2","Action",1587
"PS3","Action",1967
"PS4","Action",2089
"PSP","Action",2311
"PSV","Action",2453
"SAT","Action",2456
"SCD","Role-Playing",1281
"SNES","Action",2468
"TG16","Adventure",1114
"Wii","Action",2706
"WiiU","Action",2769
"WS","Role-Playing",1376
"X360","Action",3093
"XB","Action",3248
"XOne","Action",3316
