"platform","genre","min_genre"
"2600","Simulation",0.44
"3DO","Simulation",0.46
"3DS","Strategy",2.07
"DC","Adventure",9.08
"DS","Strategy",17.40
"GB","Strategy",25.46
"GBA","Fighting",24.87
"GC","Strategy",37.20
"GEN","Strategy",37.39
"GG","Platform",302.62
"N64","Strategy",47.73
"NES","Fighting",77.84
"NG","Fighting",79.26
"PC","Fighting",79.53
"PCFX","Role-Playing",438.83
"PS","Strategy",115.19
"PS2","Strategy",130.27
"PS3","Strategy",135.22
"PS4","Strategy",135.64
"PSP","Strategy",146.23
"PSV","Strategy",146.54
"SAT","Strategy",149.78
"SCD","Strategy",149.92
"SNES","Strategy",154.90
"TG16","Adventure",199.54
"Wii","Strategy",160.14
"WiiU","Strategy",161.38
"WS","Strategy",161.58
"X360","Strategy",171.73
"XB","Strategy",174.47
"XOne","Strategy",174.86
