"Publisher","total_sales"
"Nintendo",1786.36
"Electronic Arts",1110.15
"Activision",727.11
"Sony Computer Entertainment",607.49
"Ubisoft",474.51
"Take-Two Interactive",399.7
"THQ",340.65
"Konami Digital Entertainment",283.46
"Sega",272.95
"Namco Bandai Games",253.91
"Microsoft Game Studios",245.78
"Capcom",200.73
"Atari",156.88
"Warner Bros. Interactive Entertainment",153.9
"Square Enix",145.24
"Disney Interactive Studios",119.72
"Eidos Interactive",98.95
"LucasArts",87.3
"Bethesda Softworks",82.06
"Midway Games",69.7
"Acclaim Entertainment",64.01
"Vivendi Games",58.15
"SquareSoft",57.68
"505 Games",55.75
"Tecmo Koei",53.55
"Codemasters",47.74
"Virgin Interactive",43.9
"Unknown",34.56
"Enix Corporation",33.74
"Deep Silver",25.66
"GT Interactive",25.22
"D3Publisher",24.06
"Sony Computer Entertainment Europe",23.88
"Hudson Soft",23.02
"MTV Games",21.03
"Universal Interactive",17.8
"Banpresto",17.41
"Rising Star Games",17.23
"Infogrames",16.33
"Majesco Entertainment",15.97
"Hasbro Interactive",15.21
"N/A",14.82
"Nippon Ichi Software",14.37
"989 Studios",13.3
"Zoo Digital Publishing",12.89
"Atlus",12.8
"Level 5",12.16
"Empire Interactive",11.34
"ASCII Entertainment",10.9
"3DO",10.15
"Crave Entertainment",9.9
"RedOctane",8.69
"TDK Mediactive",8.28
"Mindscape",7.7
"Global Star",7.59
"Focus Home Interactive",7.49
"Fox Interactive",7.38
"Psygnosis",7.28
"Activision Value",6.98
"Ignition Entertainment",6.66
"Interplay",6.62
"SouthPeak Games",6.31
"Spike",6.14
"Red Orb",5.25
"Parker Bros.",4.97
"Tomy Corporation",4.96
"BAM! Entertainment",4.88
"Imagic",4.82
"Zoo Games",4.79
"Koch Media",4.73
"Arena Entertainment",4.72
"City Interactive",4.57
"Ubisoft Annecy",4.48
"Nordic Games",4.45
"Destineer",4.37
"Play It",4.31
"PQube",4.28
"Marvelous Interactive",4.18
"Palcom",4.17
"ChunSoft",4.07
"Idea Factory",4.0
"Kadokawa Shoten",3.77
"Game Factory",3.74
"Gotham Games",3.73
"Natsume",3.7
"GSP",3.69
"Square",3.65
"Ocean",3.59
"DTP Entertainment",3.56
"Sony Online Entertainment",3.51
"SCi",3.5
"Mattel Interactive",3.47
"Takara",3.44
"Oxygen Interactive",3.41
"Maxis",3.39
"Titus",3.31
"Black Bean Games",3.26
"Valve Software",3.22
"GungHo",3.15
"Coleco",3.07
"Human Entertainment",3.02
"Avanquest",2.99
"Mojang",2.91
"Scholastic Inc.",2.88
"Taito",2.83
"Ghostlight",2.79
"JVC",2.78
"Sammy Corporation",2.73
"Takara Tomy",2.72
"Midas Interactive Entertainment",2.72
"Telltale Games",2.7
"Imagineer",2.65
"Alchemist",2.62
"SNK",2.59
"NCSoft",2.57
"Rondomedia",2.56
"Compile",2.45
"Kalypso Media",2.4
"Marvelous Entertainment",2.34
"Red Storm Entertainment",2.32
"UEP Systems",2.26
"Mastiff",2.23
"Enterbrain",2.23
"Kemco",2.19
"Video System",2.17
"Microprose",2.05
"ASC Games",2.02
"RTL",2.01
"Little Orbit",2.0
"Jaleco",1.95
"Nobilis",1.95
"20th Century Fox Video Games",1.93
"Agetec",1.93
"Success",1.92
"Zushi Games",1.84
"Rocket Company",1.82
"Metro 3D",1.81
"System 3 Arcade Software",1.79
"Valve",1.73
"Crystal Dynamics",1.72
"Mastertronic",1.7
"Hudson Entertainment",1.69
"Avanquest Software",1.68
"Accolade",1.66
"From Software",1.65
"Xplosiv",1.64
"5pb",1.63
"Hello Games",1.6
"Touchstone",1.59
"LEGO Media",1.56
"PopCap Games",1.56
"Westwood Studios",1.55
"Laguna",1.55
"Storm City Games",1.53
"JoWood Productions",1.5
"Arc System Works",1.47
"Genki",1.47
"Knowledge Adventure",1.46
"XS Games",1.46
"Tigervision",1.43
"Pinnacle",1.42
"Rage Software",1.41
"GameMill Entertainment",1.41
"Slightly Mad Studios",1.37
"Compile Heart",1.37
"NewKidCo",1.31
"FuRyu",1.31
"Milestone S.r.l.",1.27
"Aqua Plus",1.26
"Falcom Corporation",1.22
"Brash Entertainment",1.21
"Playlogic Game Factory",1.21
"Russel",1.21
"Gathering of Developers",1.2
"Black Label Games",1.2
"BMG Interactive Entertainment",1.18
"Aruze Corp",1.17
"Sony Computer Entertainment America",1.17
"Trion Worlds",1.13
"Jester Interactive",1.13
"O-Games",1.1
"Gust",1.09
"Acquire",1.08
"Gremlin Interactive Ltd",1.08
"Mentor Interactive",1.06
"Epoch",1.05
"Telegames",1.03
"Big Ben Interactive",0.98
"IE Institute",0.96
"DreamCatcher Interactive",0.96
"UFO Interactive",0.96
"Sunsoft",0.96
"SNK Playmore",0.96
"Broccoli",0.96
"Nippon Columbia",0.95
"Jorudan",0.95
"Screenlife",0.92
"Funbox Media",0.9
"CTO SpA",0.9
"Victor Interactive",0.89
"Xseed Games",0.89
"TalonSoft",0.88
"Quelle",0.87
"Destination Software, Inc",0.86
"mixi, Inc",0.86
"Bigben Interactive",0.85
"Ackkstudios",0.84
"Mud Duck Productions",0.83
"Mystique",0.82
"Conspiracy Entertainment",0.81
"Harmonix Music Systems",0.8
"Square EA",0.8
"NovaLogic",0.79
"Nihon Falcom Corporation",0.78
"NEC Interchannel",0.78
"Men-A-Vision",0.77
"Pioneer LDC",0.75
"ArtDink",0.75
"Gamebridge",0.73
"Starfish",0.71
"Quest",0.71
"Illusion Softworks",0.7
"Data Age",0.7
"Home Entertainment Suppliers",0.7
"Paradox Interactive",0.7
"Media Rings",0.65
"Sting",0.65
"Wanadoo",0.64
"Elf",0.64
"Aspyr",0.64
"Universal Gamex",0.63
"Seta Corporation",0.63
"Astragon",0.62
"TDK Core",0.62
"Wizard Video Games",0.62
"Foreign Media Games",0.62
"Prototype",0.61
"Idea Factory International",0.6
"ESP",0.59
"Asylum Entertainment",0.58
"Kadokawa Games",0.58
"Nordcurrent",0.58
"Mumbo Jumbo",0.57
"AQ Interactive",0.56
"CPG Products",0.54
"The Adventure Company",0.52
"BPS",0.52
"Answer Software",0.5
"Hect",0.5
"Avalon Interactive",0.49
"Rebellion",0.49
"Pack In Soft",0.48
"Activision Blizzard",0.48
"Swing! Entertainment",0.48
"Ultravision",0.47
"Popcorn Arcade",0.46
"Irem Software Engineering",0.45
"PlayV",0.45
"bitComposer Games",0.44
"Angel Studios",0.44
"Shogakukan",0.44
"Electronic Arts Victor",0.43
"NEC",0.43
"Aksys Games",0.43
"Jack of All Games",0.42
"TYO",0.42
"Tetris Online",0.42
"Valcon Games",0.42
"NCS",0.4
"Magical Company",0.4
"MTO",0.4
"ValuSoft",0.39
"P2 Games",0.39
"Microids",0.38
"Graffiti",0.37
"989 Sports",0.37
"Blast! Entertainment Ltd",0.37
"Performance Designed Products",0.36
"Hip Interactive",0.35
"New",0.35
"U.S. Gold",0.34
"DSI Games",0.34
"ITT Family Games",0.34
"Magix",0.34
"Time Warner Interactive",0.33
"Cave",0.33
"Reef Entertainment",0.33
"Benesse",0.33
"Evolved Games",0.33
"Indie Games",0.32
"Starpath Corp.",0.32
"Yacht Club Games",0.31
"Hackberry",0.31
"Mad Catz",0.31
"CBS Electronics",0.31
"CokeM Interactive",0.31
"Hamster Corporation",0.31
"Agatsuma Entertainment",0.31
"Neko Entertainment",0.3
"Daedalic",0.3
"Rebellion Developments",0.29
"Wargaming.net",0.29
"Game Life",0.29
"Media Factory",0.29
"Playmates",0.29
"Core Design Ltd.",0.29
"Telstar",0.28
"Data Design Interactive",0.28
"Excalibur Publishing",0.28
"Vic Tokai",0.28
"Tru Blu Entertainment",0.28
"Nichibutsu",0.28
"ASCII Media Works",0.27
"Culture Brain",0.27
"Syscom",0.27
"CyberFront",0.27
"Axela",0.26
"Liquid Games",0.26
"Nippon Telenet",0.26
"Pacific Century Cyber Works",0.26
"Paon",0.25
"Xing Entertainment",0.25
"Asgard",0.25
"Vir2L Studios",0.24
"Yeti",0.24
"American Softworks",0.24
"Essential Games",0.23
"Daito",0.23
"Detn8 Games",0.23
"Asmik Ace Entertainment",0.23
"O3 Entertainment",0.22
"Quinrose",0.22
"Bomb",0.22
"Vatical Entertainment",0.22
"System 3",0.21
"Slitherine Software",0.21
"Sears",0.21
"On Demand",0.21
"Alternative Software",0.21
"CCP",0.21
"Mercury Games",0.21
"Tommo",0.2
